Unnamed: 0,content,label
61,says democratic leaders arent wearing masks social distancing private,0
62,flu killed 80000 people us last year,0
63,vegetarians unaffected covid 19 virus passed eating meat,0
64,black cats vietnam killed consumed covid 19 cure,0
65,oscar health company tapped trump profit covid tests kushner company imagine profits national safety,0
66,obama administration anything swine flu,0
67,people starting enter ers fungal lung infections wearing masks,0
68,democrats pushing implanted microchip humans everyone vaccinated,0
69,59 people die pastor gives dettol drink church prevent coronavirus,0
70,new zealand let health experts rather politicians make decisions deal covid 19 today zero covid cases,0
71,one lowest mortality rates world covid 19,0
72,photograph shows one petri dish coughed person wearing mask another petri dish coughed person wearing mask,0
73,go 2020censusgov fill census form get stimulus check,0
74,says covid 19 came united states 2019,0
75,says herman cain died cancer covid 19,0
76,vaccine meant cattle used fight covid 19,0
77,common cold cause positive covid 19 test,0
78,go look countries went exactly started reopen saw infection rate go back,0
79,covid 19 named 19th chinese originated viral infectious disease,0
80,stands health care system adequate ventilators icu beds medical professionals,0
81,critically endangered malabar civet seen first time since 1990s covid 19 lockdown india,0
82,hospitals get paid list patients covid 19,0
83,says rudy giuliani bought 2m shares novartis primary supplier hydroxychloroquine early february,0
84,clearly obama administration leave kind game plan something like,0
85,george floyds murder filmed covid 19,0
86,stay home orders actually law states,0
87,gates foundation patent coronavirus,0
88,us citizens entitled 700 usd per week stay home avoid spread covid 19 novel coronavirus starting march 17,0
89,says joe biden said 150 million americans died guns another 120 million covid 19,0
90,suggests trump urged sick people get vote covid 19 pandemic,0
91,silver solution used strains coronavirus totally eliminate kills deactivates,0
92,february 7 warned limited stock ppe day trump administration announced sending 18 tons masks gowns respirators china,0
93,six months covid plandemic bill gates negotiated 100 billion contact tracing deal democratic congressman sponsor bill,0
94,bill gates quoted february 1997 issue george magazine saying populated planet would choked extinction lung attacking virus,0
95,says president trump said coronavirus testing makes us look bad said people slow testing,0
96,sweden zero lockdown worse shape denmark norway lockdown,0
97,cdc readjusted covid 19 death toll 60000 37000,0
98,cdc issued first warning jan 8 trump held campaign rallies jan 9 jan 14 jan 28 jan 30 feb 10 feb 19 feb 20 feb 21 feb 28 golfed jan 18 jan 19 feb 1 feb 15 mar 7 mar 8 first time admitted coronavirus might problem mar 13,0
99,north carolina one four states opened gyms,0
100,says 1 5 texans health insurance coverage pandemic nearly 1 3 texans age 65 dont access health care insurance,0
101,photo shows brian kemp posing gregory mcmichael,0
102,country second wave covid 19 trying unseat president november,0
103,says president donald trump morbidly obese,0
104,theyre tests airlines strong tests getting getting theyre tests trains getting getting,0
105,st corona patron saint plagues,0
106,says donald trump cut funding cdc fired pandemic response team refused tests wasted two weeks calling outbreak democrat hoax,0
107,per order govwhitmer people michigan banned purchasing new baby car seat stores,0
108,corona virus florida man arrested robbery using cough weapon,0
109,end year put federal pot 116 billion take kentucky takes 148 billion put,0
110,scientists shocked discover weed kills corona virus,0
111,trump administration promised 27 million tests end march 4 million completed,0
112,missouri businesses open monday may 4 new order long new guidelines followed,0
113,says special military helicopters spray pesticide corona virus skies country,0
114,june 23 covid 19 death rate way,0
115,fish tank additive may treat coronavirus,0
116,covid literally stands chinese originated viral infectious disease,0
117,covid 19 leading cause death united states,0
118,says coronavirus damn flu,0
119,says mike pence caught hot mic delivering empty boxes ppe nursing home pretended heavy,0
120,says nancy pelosis daughter board kennedy center thats important send money,0
121,face mask exempt card allows cite ada wear mask,0
122,chuck woolery wrote twitter son tested positive covid 19,0
123,80 people want option vote mail,0
124,says covid 19 virus,0
125,new york times editor admits biden sexual assault story censored behest biden campaign,0
126,says nih 15 years ago published study chloroquine effective covid 1,0
127,says cdc recommends men shave beards protect coronavirus,0
128,new autopsy reports suggest jeffrey epstein likely died covid 19 complications,0
129,cdc recommends people covid 19 symptoms wear masks,0
130,45 nations already moved enforce travel restrictions china president moved,0
131,hospitals get paid 750 patients die flu 17500 covid 19,0
132,says anthony fauci married ghislaine maxwells sister,0
133,says nevada gov steve sisolak banned use anti malaria drug might help cure coronavirus,0
134,trump administration fired us pandemic response team 2018 cut costs,0
135,hallmark greeting cards made china,0
136,quotes joe biden saying people never died dying coronavirus,0
137,maintain social distancing indoors reason additional mask top,0
138,city state quarantine without state approval,0
139,trump mcconnell blocking stimulus checks americans married immigrants,0
140,us hospitals preparing 96 million coronavirus infections nearly half million deaths leaked documents reveal,0
141,360000 deaths year swimming pools dont shut country,0
142,mitch mcconnell said wanted states go bankrupt instead federal government providing relief today thom tillis agreed,0
143,texas lt gov dan patrick said covid 19 social distancing restrictions eased important things living,0
144,people died knowing hillary coronavirus,0
145,poor ironically likely employed industries deemed essential upper class peers freed bunker weeks first death wave passes,0
146,mosquitoes transfer covid 19 person person,0
147,health insurance industry agreed waive co payments coronavirus treatments,0
148,n95 masks block covid 19 particles due size,0
149,trey gowdy said im saying covid 19 isnt real pay attention folks theres much going meets eye,0
150,huge results breaking chloroquine study show 100 cure rate patients infected coronavirus,0
151,nancy pelosi said accept check trump might well vote,0
152,state covid patients nursing homes state followed president trumps cdc guidance,0
153,says president barack obama waited six months call swine flu emergency thousands died,0
154,ultraviolet radiation administered body disinfectant kill bacteria viruses used,0
155,putin stated russian citizens 2 options stay home 15 days jail 5 years,0
156,people color may immune coronavirus melanin,0
157,government italy calling arrest bill gates,0
158,italian parliament calls arrest bill gates,0
159,virus cure called hydroxychloroquine zinc zithromax know people want talk mask hello dont need mask cure,0
160,bill gates sued india deaths girls resulting vaccinations,0
161,multiple studies said decades masks work viruses,0
162,particular pandemic one dont think nationwide theres single fatality 25,0
163,obama administration left trump stockpile cupboard bare,0
164,world health organization admits asymptomatic transmission covid 19 rare,0
165,michigan governor gretchen whitmer bans buying us flags lockdown,0
166,joe biden democrats want prosecute americans going church burning church,0
167,science data suggest kids risk covid,0
168,would press events may would never asked coronavirus,0
169,coronavirus thats killing people economy,0
170,world health organization offered testing kits available give us refused want buy,0
171,kennedy center pbs donated democrats getting covid 19 stimulus money,0
173,coronavirus test bad test,0
174,young people greater chance killed hpv vaccine covid 19,0
175,us nih 2017 give 37m wuhan lab china grants prohibited 2014 pres obama grant exception,0
176,trump bailed wall street main street,0
177,covid 19 covid 1 folks would think people charged world health organization facts figures would top,0
178,poll finds 38 americans say drink corona beer virus,0
179,trump administration zero unfulfilled equipment supply requests state governors,0
180,know whats bill medical malpractice suits 2024 even theyre covid related,0
181,trump administration trying take food assistance away wisconsin families people work struggling,0
182,weve still deaths flu year covid 19,0
183,mainstream media pretended deadly surge covid cases thanks wisconsinites voting,0
184,slow testing quick travel ban much critical saving lives,0
185,author dean koontz predicted 2020 new coronavirus outbreak 1981 novel eyes darkness,0
186,north carolina virginia state line closed nothing,0
187,new study flu vaccine significantly associated increased risk coronavirus,0
188,federal emergency management agency providing 4800 hazard pay working covid 19 pandemic,0
189,wearing mask prevent spread covid 19 unnecessary disease also spread via farts,0
190,seasonal flu kills people every year us covid 19 date,0
191,searching three digit number followed new cases google provides evidence covid 19 pandemic manufactured,0
192,government employee named christopher harrington filed patent cv19 n95 mask 2015,0
193,response question july 2020 cnn interview would happen covid 19 outbreak occurred schools us education secretary betsy devos said cant plan something hasnt happened yet,0
194,july 17 2020 nueces county texas seen 85 positive covid 19 tests among children aged 1 year,0
195,covid 19 pandemic planned rockefeller foundation operation lockstep,0
196,thirty three florida labs busted cooking books tampering data reporting negative covid 19 test results march july 2020,0
197,dr anthony fauci compared emerging research coronavirus scientific community knows chickenpox well viruses criticized people taking steps prevent spread covid 19,0
198,businesses us required accept coins andor currency payment,0
199,2007 study showed burning sage kills 94 bacteria,0
200,covid 19 could lose epidemic status united states declining coronavirus death rates according cdc data,0
201,july 2020 us education secretary betsy devos said 02 country k 12 school students totaling 14740 children teens likely die covid 19 schools fully reopen,0
202,us president donald trump tweeted south dakota close border california,0
203,covid 19 vaccinations already killed several youngsters required children allowed return school,0
204,dr denis mukwege said resigned coronavirus task force democratic republic congo offered money falsify covid 19 cases,0
205,us president donald trumps june 20 2020 election rally tulsa oklahoma coronavirus pandemic could connected two days 100 positive covid 19 tests reported state week later,0
206,photograph shows queen elizabeth wearing yellow face mask covid 19 coronavirus disease pandemic,0
207,june 25 2020 campaign event pennsylvania democratic presidential candidate joe biden incorrectly said 120 million people died covid 19 coronavirus disease,0
208,image shows mural painted 1994 denver international airport shows citizens world wearing masks,0
209,us department justice issued card exempts holders wearing face masks grounds poses health risk due medical conditions required disclose authority americans disabilities act ada,0
210,cellular service outage june 15 2020 enabled apple google covertly install covid 19 tracking apps onto phones,0
211,facebook post correct saying n95 masks surgical masks cloth masks dangerous andor ineffective protecting spread covid 19 based cdc us occupational safety health administration osha guidelines,0
212,image shows official covid 19 series nfl helmets,0
213,2011 movie captain america predicted coronavirus pandemic,0
214,day california announced would provide undocumented residents covid 19 stimulus payments also announced would lay first responders lack funds,0
215,photograph shows vacant sand covered highway dubai covid 19 stay home orders,0
216,59 people died pastor gave dettol drink supposedly prevent coronavirus,0
217,cbs news tried pass photograph taken ukraine 2016 picture us child afflicted coronavirus related disease 2020,0
218,rudy giuliani correctly tweeted research lab wuhan china got 37 million grant us 2017 despite ban funding,0
219,photograph non respirator ear loop mask packaging demonstrates masks ineffective protecting spread covid 19,0
220,video shows piece 5g equipment cov 19 inscribed,0
221,martial arts movie star chuck norris died covid 19 coronavirus disease,0
222,melinda gates wore upside cross broadcast interviews may 2020 denounce christianity,0
223,government oklahoma planning detain people unless show proof vaccination,0
224,anonymous person witnessed democratic legislators washington dc giddy economic fallout covid 19 coronavirus disease pandemic,0
225,people vaccinated seasonal influenza face higher chances catching sars cov 2 causes covid 19 testing positive virus actually,0
226,us president donald trump tweeted barack obama 8 years prepair next president pandemic failed,0
227,public service announcement illustrates pitfalls reckoning acceptable deaths making decisions reopening economy covid 19 coronavirus disease pandemic,0
229,americans without disabilities legally use federal ada loophole avoid wearing mask stores require,0
230,covid 19 testing reaching contacting everyone trace act hr 6666 would authorize federally administered covid 19 testing groups enter american homes force testing residents take test positive quarantine sites,0
231,pandemic related shutdown orders unconstitutional persons arrested violating collect damages,0
232,may 4 2020 us house speaker nancy pelosi said wants federal government next economic relief bill covid 19 coronavirus pandemic establish guaranteed minimum incomes illegal aliens,0
233,us president donald trump tweeted oldies die covid 19 coronavirus disease pandemic order american shops reopen,0
234,researcher judy mikovits arrested without warrant jailed without charges making controversial scientific discovery,0
235,prolonged use covid 19 related face masks cause health problems due breathing much exhaled carbon dioxide,0
236,vice president mike pence filmed delivering empty boxes supposed filled personal protective equipment rehabilitation center virginia,0
237,official costco facebook page sarcastically told sharon opposition wearing mask stores would someday subject documentary,0
238,photograph shows genuine crop circle resembling logo microsoft windows crown shape associated coronaviruses,0
239,us president donald trump asked say people lost family members covid 19 replied would say hurt anyone much hurt,0
240,photograph shows rob cantrell member far right group proud boys screaming officer anti lockdown protest michigan,0
241,churches required local government record register lists attendees tracking purposes kansas city missouri,0
242,sprawling conspiracy theory proves numerous individuals organizations schemed promote drug remdesivir covid 19 treatment purportedly highly effective hydroxychloroquine,0
243,letter written f scott fitzgerald 1920 author quarantined france spanish influenza pandemic,0
244,viral photograph showing canine coronavirus vaccine demonstrates already exist human vaccine covid 19,0
245,1981 farmer almanac contained passage predicting severe pneumatic illness would spread around globe 2020,0
246,photograph shows words center global human population reduction inscribed bill amp melinda gates foundation building,0
247,1866 ex parte milligan precludes states enforcing regulations prevent residents freely traveling earning living,0
248,nobel laureate dr tasuku honjo said covid 19 man made lab wuhan china,0
249,photograph shows person holding protest sign claiming number characters barack hussein obama add 19 covid 19,0
250,nancy pelosi visited wuhan china november 2019 month covid 19 outbreak,0
251,photograph shows protest signs carried demonstrators calling loosening covid 19 social distancing restrictions,0
252,former us rep trey gowdy penned text suggesting covid 19 part conspiracy us president donald trump,0
253,video documents hot mic exchange fox news reporter john roberts fake news tech admit covid 19 hoax everyone news media already vaccinated,0
254,us president donald trump said hundreds governors calling amid covid 19 coronavirus pandemic,0
255,chart accurately shows effectiveness wearing face masks covid 19 pandemic,0
256,u house speaker nancy pelosi declared covid 19 pandemic congress would session unless emergency,0
257,cause country music star joe diffie death lung cancer,0
258,centers disease control prevention guidelines listing covid 19 death certificates absence test resulting case overcount,0
259,microsoft owns patent 666 involves inserting microchips people mine activity cryptocurrency purposes,0
260,us president donald trump tweeted november 2009 obama handling whole pandemic terrible would never let thousands americans die pandemic office,0
261,photograph shows swastika flag bearing names trump pence displayed operation gridlock protest michigan,0
262,newspaper accounts reported two different deaths covid 19 person,0
263,former fox news host bill reilly wrote viral essay claiming covid 19 pandemic caused chinese bioweapon,0
264,michigan gov gretchen whitmer banned sale purchase american flags covid 19 pandemic,0
265,us president donald trump said care sick get vote covid 19 coronavirus disease pandemic,0
266,seven children senegal died administered covid 19 coronavirus disease vaccine april 2020,0
267,photograph shows two women wearing flu masks 1918 pandemic,0
268,medical supply company owned clinton family quadrupled prices ventilators masks covid 19 coronavirus disease pandemic,0
269,meme details staggered shopping schedule implemented walmart covid 19 pandemic,0
270,us president donald trump benefit financially hydroxychloroquine becomes established treatment covid 19,0
271,video shows member maasai tribe whipping people kenya refused obey government self quarantine orders covid 19 pandemic,0
272,coronavirus stimulus payments termed economic impact payments taxable could reduce 2020 tax refund,0
273,televangelist pat robertson blamed oral sex covid 19 coronavirus disease pandemic,0
274,kathleen mara author poem written 1919 pandemic,0
275,800 phone number used tracking status coronavirus economic stimulus payments,0
276,thieves exploiting coronavirus pandemic dousing masks chemicals render people unconscious robbing,0
277,joseph maldonado passage better known joe exotic tiger king covid 19 coronavirus disease,0
278,national health service worker warned going buy necessities even bread covid 19 infection peak hits tomorrow,0
279,financier george soros owns lab wuhan china covid 19 coronavirus disease developed,0
280,video shows people china tearing 5g tower attempt stop spread covid 19 coronavirus disease,0
281,sandra orangutan started washing hands noticed zookeepers covid 19 pandemic,0
282,coronavirus aid relief economic security cares act included 25 million raise members us house representatives,0
283,democrats new york stashed ventilators warehouse effort make covid 19 pandemic worse,0
284,author c lewis wrote passage screwtape letters involving satan wanting shut businesses jesus wanting restore family unit,0
285,uk government sending texts informing recipients issued fines leaving house coronavirus lockdown,0
286,johns hopkins university published excellent summary avoiding covid 19,0
287,us president donald trump advocated pay public officials stopped covid 19 pandemic,0
288,video shows mass graves italy result covid 19 pandemic,0
289,drinking hot water lemons cure prevent covid 19 drinking hot water lemons sodium bicarbonate alkalize immune system cure prevent covid 19,0
290,discovering doomsday asteroid approaching earth world leaders created covid 19 pandemic effort distract world population force everyone spend time families earth final days,0
291,new disease outbreak caused hantavirus detected china,0
292,russia released 500 lions make sure people stay inside covid 19 pandemic,0
293,eating bananas preventative covid 19 coronavirus disease,0
294,meme replicates nostradamus prophecy foretelling 2020 covid 19 coronavirus disease pandemic,0
295,us president donald trump tweeted economic stimulus checks would go made negative social media comments,0
296,referring ongoing covid 19 pandemic us president donald trump said people dying today never died,0
297,people describing red cross workers knocking doors people homes selling claim coronavirus home tests,0
298,oprah winfrey home raided part sex trafficking sting,0
299,amazon announced suspending deliveries except medical supplies covid 19 pandemic,0
300,using hair dryer breathe hot air cure covid 19 stop spread,0
301,photograph shows store shelves stripped foodstuffs except vegan products covid 19 pandemic,0
302,hand sanitizer threat pets contains ingredient also found antifreeze,0
303,parents receive case baby formula covid 19 pandemic calling number back company product,0
304,msnbc reporter said air hope enough people die coronavirus harms trump reelection,0
305,white house sent text messages mid march 2020 informing people mandatory quarantine us would start within 48 hours,0
306,gargling salt water vinegar eliminate covid 19 coronavirus throat infected person system,0
307,costco issued recall kirkland signature brand bath tissue,0
308,photograph shows railroad tank car identified carrying covid 19,0
309,staff gold coast hospital australia rolled wilson volleyball keep tom hanks company quarantine diagnosed coronavirus,0
310,us house speaker nancy pelosi held coronavirus funding package democrats could run negative ads republicans made latter look bad,0
311,taking sips water every 15 mins prevent new coronavirus entering windpipe lungs,0
312,hold breath without coughing discomfort stiffness tightness lungs suffer fibrosis therefore covid 19 infection,0
313,centers disease control prevention cdc announced covid 19 disease caused coronavirus found toilet paper people use wet cloths instead,0
314,bbc news reported actor daniel radcliffe first famous person contract coronavirus,0
315,homemade hand sanitizer made tito vodka used fight new coronavirus,0
316,february 2020 vatican said pope francis two aides tested positive covid 19 disease caused new coronavirus,0
317,major disease outbreak occurred every election year since 2004,0
318,us president barack obama waited millions infected thousands dead declaring public health emergency concerning swine flu h1n1 virus,0
319,us sen lindsey graham said president trump probably knows medicine specifically viruses called scientists nih cdc,0
320,sales corona beer dropped sharply early 2020 consumers mistakenly associated brand name new coronavirus,0
321,us vice president mike pence introduced program cure new coronavirus carriers discredited practice conversion therapy,0
322,satellite data show large release sulfur dioxide gas outskirts wuhan china could viewed evidence mass cremation new coronavirus victims,0
323,chinese intelligence officer revealed new coronavirus developed lab bioweapon,0
324,harvard professor charles lieber arrested concealing funding chinese lab connected origin new coronavirus,0
325,video shows chaotic scene wuhan china involving doctors armed weapons gunshots deter people leaving new coronavirus quarantine woman shot dead attempted break roadblock,0
326,officials warning popping bubble wrap china could expose one coronavirus,0
327,rapper eminem first celebrity diagnosed new coronavirus february 2020,0
328,chinese officials seeking approval start mass killing 20000 people order stop spread new coronavirus,0
329,simpsons tv show predicted 2020 new coronavirus outbreak 1993 episode,0
330,mark kelly criticized paycheck protection program turned around took money multi million dollar company,0
331,john lewis funeral obama told room full people rooms full people dangerous must mail vote,0
332,study cdc proves face masks prevent spread virus,0
333,mississippi got 10145 warrants unemployment fraud,0
334,florida five times better new jersey new york covid 19 deaths per million people,0
335,says donald trump caught hot mic insulting supporters,0
336,says opposes statewide mask order would require wear mask house walking dog,0
337,says wearing masks proven ineffective,0
338,worked covid 19 pandemic department labor finally authorized 4800 hazard pay qualified essential workers,0
339,american coronavirus vaccine killed five ukrainians,0
340,cdc said made mistake reduced count florida covid 19 cases 90000 11000,0
341,says sen thom tillis doesnt think restaurant workers wash hands,0
342,quotes anthony fauci writing reject notion virus well get eventually careless lazy heartless stance,0
343,quotes president donald trump saying everybody says ive done tremendous job covid think little gratitude would nice maybe big thank mr president called,0
344,opening schools local determination state determination,0
345,must apply get second stimulus check ive already filed mine receiving 2000 month rest year,0
346,books removed classrooms minnesota middle school administrators claim books cannot cleaned,0
347,photo shows dr fauci melinda gates barack obama wuhan lab 2015,0
348,wrong covid 19 case count orlando health explains outbreak florida,0
349,says fema giving essential workers 1000,0
350,supreme court ruled today voting mail,0
351,56 coronavirus deaths day enough collapse world economy even though thousands people die daily tuberculosis hepatitis b diseases,0
352,quotes dr denis mukwege saying resigned congolese coronavirus response team ordered fabricate covid 19 case death numbers,0
353,children vast majority young middle aged adults vast majority teachers coronavirus poses virtually zero threat,0
354,says covid 19 testing could done mouth swabs maybe deeper swabbing implanting something,0
355,cdc may stop calling covid 19 epidemic due remarkably low death rate,0
356,patient discharge document proves cdc recommend healthy people wear masks,0
357,people carrying guns cant wear face masks protect coronavirus class 4 felony,0
358,new york state hospitals reporting thousands fungus lung infections due wearing mask,0
359,covid19 pcr tests scientifically meaningless,0
360,covid never going away beach today raleigh north carolina,0
361,says bbc prematurely reported ghislaine maxwell moved intensive care coronavirus symptoms worsen,0
362,study showed 1 million people north carolina exposed virus,0
363,nurses submitting coronavirus tests say coming back positive,0
364,oklahoma 100 coronavirus test rate trump tulsa rally,0
365,video man using air quality monitor proves people getting enough oxygen wearing masks,0
366,says donald trump used farmers struggles push multi billion dollar bailout program nothing handout large agricultural companies,0
367,covid 19s contagion probability two people 70 carrier masked 5 carrier masked 15 parties,0
368,four kids took coronavirus vaccine died immediately,0
369,says gov tony evers removed american flag capitol building,0
370,licensed carry concealed weapon wearing face covering coronavirus removes conceal carry ability,0
372,north carolina charged class h felony wearing mask concealed carrying,0
373,osha says masks work reduce covid 19 transmission violate osha oxygen levels,0
374,gov gavin newsom legal authority make wearing face coverings mandatory california,0
376,stopped testing right cases,0
377,says news stories referencing 322 covid 19 proof cases synchronized,0
378,real sense oklahoma flattened curve number cases oklahoma declined precipitously,0
379,free horses 52 thoroughbred horses need homes go sugarcreek sat slaughter gentleman died due covid 19 son wants nothing,0
380,corona virus claims black belt chuck norris dead 80,0
381,wearing masks coronavirus decreases oxygen intake increases toxin inhalation shuts immune system increases virus risk scientifically inaccurate effectiveness studied,0
382,many aware female governor michigan niece george soros,0
383,voting mail hundreds thousands ballots rejected defects millions end missing landfills,0
384,shes casually carrying body 1 hand sure evidence coronavirus complete hoax props street theater,0
385,see suicide rates skyrocketing,0
386,according cdc far year florida 1762 deaths covid 19 5185 pneumonia average pneumonia deaths florida 2013 2018 time period 918,0
387,says nancy pelosi tried include abortion funding latest coronavirus bill,0
388,new dane county lockdown policy effectively killed badger football hockey basketball 2020,0
389,michigan governor reopened traverse city could daughter open house,0
390,says ohio gov mike dewine released 4300 prisoners warning residents possible crime wave,0
391,says president donald trump trying make 451 billion medicare cuts middle deadly pandemic,0
392,near low end per capita deaths places 60 deaths per 100000 29,0
393,bill gates george soros want secretly stick chip testing coronavirus dems bill house floor ready vote require,0
394,says state health secretary says go hospitals clinics tourism secretary says recreate,0
395,italy went law covid 19 autopsies discovered covid virus bacterium clots blood reduces oxygen saturation,0
396,flu kill americans year,0
397,photo shows three men crosses feel like theyre crucified required stay home,0
398,says michigan gov gretchen whitmers family spent may 20 second home breaking stay home orders,0
399,photo shows gov gretchen whitmer mackinaw island today ignoring mask social distancing rules,0
400,nancy pelosi said congress shall vote remotely secure also saying americans vote president mail,0
401,us rep conor lamb said would vote nancy pelosi speaker,0
402,texas florida balanced budget california debt 54 billion new york debt 61 billion,0
403,amid covid 19 outbreak minnesota highest unemployment rate us history,0
404,children dont seem getting virus,0
405,california dying gavin newsom vacationing stevensville mt,0
406,covid 19 future vaccine come id mark id tells everyone free covid,0
407,says refused service store wearing mask call department health report store masks suggested required,0
408,says warning label box disposable masks shows ineffective protecting spread covid 19,0
409,novel coronavirus man made,0
410,half workforce country may idled coronavirus,0
411,due large number people refuse forthcoming covid 19 vaccine include tracking microchips gates foundation spending billions ensure medical dental injections procedures include chips,0
412,lot people get additional 2400 cares act every month,0
413,bill gates explains covid vaccine use experimental technology permanently alter dna,0
414,autopsies prove covid 19 blood clot pneumonia ought fought antibiotics whole world wrong treating called pandemic,0
415,says wearing face masks harmful health going without one,0
416,states like new york illinois california vocal demands funding bail pension systems failing long covid 19 outbreak programs arent related crisis,0
417,dr fauci says every american microchipped,0
418,says kitchen worker viral video potentially spreading coronavirus blowing food containers,0
419,masks prevent coronavirus governors would given prison inmates instead releasing,0
420,anthony fauci clinton foundation board 20 years currently serves gates foundation,0
421,bill gates admits covid 19 vaccine might kill nearly 1 million people,0
422,hydroxychloroquine cures virus happens treatment used radiation sickness,0
423,cannabis may stop coronavirus infecting people study finds,0
424,says certain face masks effective others cloth masks,0
425,says gov tony evers administration deemed dentists non essential,0
426,100b contact tracing bill controllingtracking population coronavirus,0
427,since reopening georgia weve seen covid rate skyrocket 40,0
428,93 covid 19 cases state illinois come chicago,0
429,gates foundation stands make nearly 315 billion coronavirus vaccine uk,0
430,3 trillion federal coronavirus stimulus packages borrowed basically china,0
431,guess children risk unless underlying medical issue,0
432,germany united states two best deaths per 100000 people frankly perhaps important number,0
433,says president donald trump implemented travel ban work 400000 people got countries subject restrictions,0
434,nearly half missouri counties reported positive covid 19 cases,0
435,1866 supreme court ruling stay home orders illegal disregarded impunity,0
436,cdc recommended mail voting thats whole pandemic election,0
437,says dr anthony fauci name appears 4 us patents key glycoprotein used create current covid 19 epidemic,0
438,dr fauci sat microsofts board directors,0
439,regarding risks coronavirus transmission airplane safe environment youre going find,0
440,georgia gov brian kemp mandates restaurants reopen,0
441,central park hospital tents housed thousands abused children released underground captivity,0
442,north carolinas health department telling hospitals decide elective surgeries wont eligible receive protective equipment state,0
443,2 doctors bakersfield discover coronavirus mortality rate 003 13x less deadly previously thought analysis since banned youtube,0
444,mayors covid 19 order kansas city churchgoers must register government,0
445,media outlets reported boy died 3 times coronavirus 3 countries,0
446,photo shows rob cantrall recent michigan protest,0
447,gas 1 13 states 227 pennsylvania governor,0
448,real scientific basis believing social distancing would necessary since never studied,0
449,governor andy beshear authorized kentucky teachers make home visits parental approval teachers inspect bedroom student currently enrolled k 8,0
450,see time history country perfectly healthy people basically confined homes able essential things kansas city st louis,0
451,corona virus isnt nearly deadly thought,0
